Datum,Repository,Commit Message,Stunden
2025-08-03,Monitor Service,"Add project features; documentation links; and next steps for deployment and monitoring ",0.5
2025-08-03,Monitor Service,"Ignore generated site/ directory ",2
2025-08-03,Monitor Service,"Installing graphviz ",2
2025-08-03,Monitor Service,"Installing graphviz-dev additionally ",2
2025-08-04,VPN Dashboard,"add CI ",2
2025-08-04,VPN Dashboard,"initial ",3
2025-08-05,Monitor Service,"Add comprehensive Grafana log management scripts ",2
2025-08-05,VPN Dashboard,"Update dashboard title to v0.1 and reorganize imports ",2
2025-08-06,VPN Dashboard,"Add enhanced Keycloak debugging and fix configuration ",3
2025-08-06,VPN Dashboard,"Add Keycloak debugging features and environment configuration ",3
2025-08-08,Nebula VPN PKI,"feat: Implement structured JSON logging for Grafana ",4
2025-08-08,VPN Dashboard,"🔒 Refactor VPN Dashboard to JWT Authentication ",2
2025-08-12,Monitor Service,"auth-setup ",3
2025-08-12,Monitor Service,"formatting ",2.5
2025-08-12,Nebula Healthcheck Service,"syslog ",2
2025-08-12,Nebula VPN PKI,"/uptime ",2
2025-08-12,VPN Dashboard,"auth ",2
2025-08-13,Nebula Healthcheck Service,"cleanup: remove temporary token.json file ",2.5
2025-08-13,Nebula Healthcheck Service,"feat: add human-readable uptime format to /uptime endpoint ",4
2025-08-13,Nebula Healthcheck Service,"Fix GitHub Actions: Update Docker context path ",2
2025-08-13,Nebula Healthcheck Service,"Improve uptime display with user-friendly format (days; hours; minutes; seconds) ",2.5
2025-08-13,Nebula Healthcheck Service,"Refactor: Move from glider-healthcheck to root directory ",2
2025-08-13,Nebula VPN PKI,"utcnow is deprecated ",2
2025-08-13,VPN Dashboard,"Add /api/uptime endpoint with human readable format ",2.5
2025-08-14,VPN Dashboard,"Add React state management for Keycloak authentication status ",2
2025-08-14,VPN Dashboard,"Add structured logging system with emojis ",2
2025-08-14,VPN Dashboard,"Enable Keycloak frontend authentication ",2
2025-08-14,VPN Dashboard,"feat: Implement Service Account authentication for PKI API ",4
2025-08-14,VPN Dashboard,"Fix authentication check in App.tsx to prevent login loop ",2
2025-08-14,VPN Dashboard,"Fix Dockerfile: Add missing auth.js to container ",2
